Product_Name,Number_Of_Reviews,Rating,Product_Price,Product_URL,Description,ASIN,Product_Description_Table,Manufacturer
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,343,3.6,[589],https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_77?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-77," SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort  , COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men? and women?  , PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.  , OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc  , Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket; Pattern Name: Solid; Age Range Description: Adult; Compartment Description: Up To 17 Inches  ",B09QM9N1B3,"{'product_description': ['FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.'], 'from_manufacturer_text': [], 'Product Dimensions': '44 x 31 x 20 cm; 420 Grams', 'Date First Available': '18 January 2022', 'Manufacturer': 'Half_Moon', 'ASIN': 'B09QM9N1B3', 'Item model number': 'Laptop backpack', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Item Weight': '420 g', 'Item Dimensions LxWxH': '44 x 31 x 20 Centimeters'}",Half_Moon
Skybags Brat Sea Green 46 Cms Casual Backpack,871,4.1,[669],https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG/ref=sr_1_73?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-73," Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,  ",B08Z21W4TG,"{'product_description': ['Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack'], 'from_manufacturer_text': [], 'Product Dimensions': '35 x 13 x 46 cm; 350 Grams', 'Date First Available': '15 March 2021', 'Manufacturer': 'VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India', 'ASIN': 'B08Z21W4TG', 'Item model number': 'BPBRATESGN', 'Country of Origin': 'Bangladesh', 'Department': 'unisex-adult', 'Packer': 'VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India', 'Importer': 'VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India', 'Item Weight': '350 g', 'Item Dimensions LxWxH': '35 x 13 x 46 Centimeters', 'Generic Name': 'SKYBAGS BRAT (E) SEA GREEN'}","VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,2370,4.0,"[549, 999]",https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_74?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-74," Made of durable water-resistant exterior fabric as well as protective soft padded interior. Laced with zippers for a long life span. it's also called such as side bag for men and sling bags for men .bag for men  , Laptop bags Ultra Protection: Tabelito laptop shoulder bag features protective padding at the bottom of the individual laptop compartment and ultra-thick. you can use it as bags for mens ,side bag for men / side bag for men / office bag for women / gift for men . it's can be use as a interview bag or interview purpose  , Well-organized: The main compartment features a laptop slot and a tablet slot for up to 11"" iPad Pro with smart case & keyboard. its also use as a office bag for women , office bag for men  , Compact and Easy to Carry: Being lightweight, this bag can be comfortably carried with the handle . you can use it such as shoulder bag men , messenger bags for men , leather laptop bags for men/ laether briefcase / leather bag for men / office bag for women / laptop accessories / backpack for women  , Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag  , Bag is perfect to carry laptops notebook up to 15.6 inch include 2019 New MacBook Pro 16 , MacBook Pro (Retina) 15, and other 14-15.6 inch Dell XPS / HP  , Two front pockets With small and large pockets, and multiple elastic bands to make it easier than ever to organize accessories such as charger, cable, mouse, hub etc.  ",B08FKXCJNQ,"{'product_description': [], 'from_manufacturer_text': ['Organize Your Digital Life', 'TABELITO Polyester Laptop Shoulder Bag Carrying Briefcase Sleeve Case', 'Why Choose TABELITO Bag?', 'This TABELITO protective laptop shoulder bag is made from premium water repellent polyester material, slim, lightweight, which is very durable, not esaily broken. It can be perfectly used for both business and leisure, stylish and decent in appearance, you will be delighted with our bag.', 'BACK TROLLY LUGGAGE STRAP DESIGN', 'Fits most luggage trolley models. When traveling, just put it on your suitcase to free your hands.', 'IT PROTECTS FIRMLY', 'The bag protects 360 degrees from vibration, shock, dust, fingerprints and other damage without reinforcing the laptop computer.', 'INTERNAL & EXTERNAL DIMENSIONS', 'Our briefcase for laptops will be your favorite travel and workplace buddy for years as it is designed to last. It is produced with top-grade premium water repellent polyester material reinforced with premium stitching, and contoured metal zipper pulls while maintaining light weight.', 'DEEPER & ORGANIZED ACCESSORY POCKET', 'This messenger bag comes with special stitch at bottom corners that increase the gusset / depth for front pocket and stereoscopic, shape. Internal pen / stylus holder. It has various pockets and compartments to hold daily essentials like:', 'BACK LUGGAGE STRAP DESIGN', 'IT PROTECTS FIRMLY', 'INTERNAL & EXTERNAL DIMENSIONS', 'DEEPER & ORGANIZED ACCESSORY POCKET'], 'Product Dimensions': '33 x 44 x 9 cm; 499 Grams', 'Date First Available': '10 August 2020', 'Manufacturer': 'Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala)', 'ASIN': 'B08FKXCJNQ', 'Item model number': 'TAB-BC-G', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': '9958166528', 'Importer': '9958166528', 'Item Weight': '499 g', 'Item Dimensions LxWxH': '33 x 44 x 9 Centimeters', 'Net Quantity': '1 U', 'Included Components': 'Laptop Briefcase', 'Generic Name': 'Laptop Briefcase'}","Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala)"
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,19,3.4,[489],https://www.amazon.in/Dopenain-Casual-College-Students-Backpack/dp/B0BG2V1VJ7/ref=sr_1_75_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-75-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1," ? MATERIAL: Polyester; ? Compartment Description:- Up To 15 Inches; Color Name: Blue & Black; Special Features: Bottle Holder; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Daypack Backpacks.   , ? Special Features:- Padded breathable back with adjustable shoulder straps which protect the backbone and help to relieve stress on shoulders, lightweight, bottle holder, and rain cover. Made in India.   , ? Consumer:- Suitable for men, women, students, boys & girls, can be used as a school, college, office, or day traveling backpacks.   , ? Dimension:- 32 x 18 x 48 cm, Number of Compartment: 3 full size compartments, Laptop Compartment : Padded laptop compartment, Capacity: 27 Liters, Laptop Size: 13 to 15 inches.   , Water Resistance Level: Not Water Resistant; Closure Type: Zipper; Age Range Description: Adult   ",B0BG2V1VJ7,"{'product_description': ['Compartment Description:- Up To 15 Inches; Color Name: Blue & Black; Special Features: Bottle Holder; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Daypack Backpacks Special Features:- Padded breathable back with adjustable shoulder straps which protect the backbone and help to relieve stress on shoulders, lightweight, bottle holder, and rain cover. Made in India. Consumer:- Suitable for men, women, students, boys & girls, can be used as a school, college, office, or day traveling backpacks Dimension:- 32 x 18 x 48 cm, Number of Compartment: 3 full-size compartments, Laptop Compartment: Padded laptop compartment, Capacity: 27 Liters, Laptop Size: 13 to 15 inches. MATERIAL: Polyester'], 'from_manufacturer_text': [], 'Product Dimensions': '32 x 18 x 48 cm; 600 Grams', 'Date First Available': '21 September 2022', 'Manufacturer': 'Dopenain, Dopenain (ecom.medinain@gmail.com) (+91 9315356002)', 'ASIN': 'B0BG2V1VJ7', 'Item model number': 'Dope_Backpack', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'Dopenain (ecom.medinain@gmail.com) (+91 9315356002)', 'Item Weight': '600 g', 'Item Dimensions LxWxH': '32 x 18 x 48 Centimeters', 'Net Quantity': '1.00 count', 'Generic Name': 'Backpack'}","Dopenain, Dopenain (ecom.medinain@gmail.com) (+91 9315356002)"
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,10,3.5,[798],https://www.amazon.in/URBAN-TRIBE-Move-Backpack-Repellent/dp/B0BP1QM6W5/ref=sr_1_76_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-76-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1&smid=A385M0TPSNV7VS," Made with strong and premium 450D Polyester  , Max padded 15.4"" Laptop compartment  , Cool and stylish looks  , Unique front quick access mesh pockets  , Large front pocket for extra convenience  ",B0BP1QM6W5,"{'product_description': ['Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors'], 'from_manufacturer_text': [], 'Product Dimensions': '14 x 32 x 44 cm; 510 Grams', 'Date First Available': '5 December 2022', 'Manufacturer': 'Backpack International Pvt Ltd, Backpack International Pvt Ltd', 'ASIN': 'B0BP1QM6W5', 'Item model number': 'Move', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'Backpack International Pvt Ltd', 'Importer': 'Backpack International Pvt Ltd', 'Item Weight': '510 g', 'Item Dimensions LxWxH': '14 x 32 x 44 Centimeters', 'Net Quantity': '1.00 count'}","Backpack International Pvt Ltd, Backpack International Pvt Ltd"
Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),1382,4.4,[699],https://www.amazon.in/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4/ref=sr_1_71?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-71," Made with Love in India.  , Constructed Using Water Repellant High Quality Polyester & top-notch Hardware.  , Extremely Slim, Intelligent Design - Easy to Handle, yet Ample Space for Daily Essentials  , Well Padded Laptop Compartment, Designed for Laptops with Screen Size Between 14 to 15.6 Inches.  , Carry Using the Grab Handles or On-Shoulder using the Included, Comfortable Shoulder Strap.  ",B07GNCRCP4,"{'product_description': [], 'from_manufacturer_text': [""Introducing The Professional Office Laptop Bag - the perfect companion for your daily commute or business travels. With a spacious interior that can accommodate laptops with screens up to 15.6 inches, you'll be able to bring along all your essential devices and documents."", 'Carry this bag with ease using the padded shoulder strap or the grab handles, whichever suits your style. The well-designed front pocket provides convenient storage for frequently used items, while the innovative back pocket converts into a luggage pass-through by simply opening the bottom zipper.', ""Made from strong, water-repellent fabric, this bag is not only lightweight but also built to withstand the elements. And with its variety of print designs to choose from, you can express your personal style while staying organised and professional. So whether you're commuting through the city or exploring a new destination, you can trust The Professional Office Laptop Bag to keep your belongings safe and dry.""], 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '43 x 29 x 6.5 cm; 430 Grams', 'Date First Available': '19 August 2018', 'Manufacturer': 'Protecta Inc', 'ASIN': 'B07GNCRCP4', 'Item model number': 'BBK0105IP04', 'Country of Origin': 'India', 'Department': 'Unisex', 'Packer': 'Protecta Inc - Np. 3, First Floor, Plot No. 6, Dan Udyog Sahkari Sangh Ltd, Piparia, Silvassa 396402', 'Item Weight': '430 g', 'Item Dimensions LxWxH': '43 x 29 x 6.5 Centimeters', 'Net Quantity': '1 Unit', 'Included Components': '1 Laptop Bag', 'Generic Name': 'Laptop Bag'}",Protecta Inc
"HOT DELIVERY BAGS Insulated and Waterproof Door Hanging Bag for Milk Sachets and Bottles Storage, Durable and Light Weight (Sea Green)",250,4.5,[649],https://www.amazon.in/HOT-DELIVERY-BAG-Insulated-waterproof/dp/B08VJ4VWGZ/ref=sr_1_72?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-72," Durable and Lightweight - The Door Hanging Bag is strong and lightweight, holds your bottles snugly in place and protects bottles from breaking. Stain-resistant, reusable and time again, perfect bottle carrier.  , Waterproof PVC Fabric for Outer Material & Thermally PET Insulated Linings i.e. Aluminum Linings for Inner Fabric  , 6 Way Insulation to keep the Milk Cold and Fresh in Any climate, 1 Liter Bottle, 500 ml Bottles ,250 ml Milk bottles can easily be accommodated inside the Insulated Milk Door Hanging Bags  , Door Hanging bags are Made From Soft Fabric that protects Milk Glass Bottles from Dust & Scratches and keep the Bottles Temperature stable what it is loaded at  , Ice Packs are used to soak the moisture from the bottle and maintain a stable temperature inside the bag  ",B08VJ4VWGZ,"{'product_description': [], 'from_manufacturer_text': ['door hanging Daily Milk and Grocery Bag', 'Door Hanging Daily Milk and Grocery Bag', 'Door Hanging bags are made from soft fabric that protects Milk Glass Bottles, pouch and grocery from Dust & Scratches and keep the temperature stable what it is loaded at.', 'Daily Milk and Grocery Bag Specification', 'Water & Stain Resistant Fabric', 'WATERPROOF MATERIAL: Waterproof PVC Fabric to protects Milk Glass Bottles and grocery from Dust & Scratches.', 'Premium Quality Insulation', 'KEEP YOUR STUFF FRESH : Thermally PET Insulated Linings i.e. Aluminum Linings for Inner side to keep milk, vegetables and fruits cool, fresh and maintains original temperature for longer time.', 'Attractive Graphics', 'Along with safety and hygiene we are providing attractive designs. It will maintain the beauty of your home.', 'Compact Design', 'Door hanging milk and grocery bag is 8 liter large in size but very compact in shape. After use you can easily fold it and keep it aside.', 'Daily Milk and Grocery storage bag', 'door hanging milk delivery bag'], 'Product Dimensions': '22 x 11.9 x 6.3 cm; 210 Grams', 'Date First Available': '1 February 2021', 'Manufacturer': 'Shree Suppliers, Shree Suppliers, 9833712003', 'ASIN': 'B08VJ4VWGZ', 'Item model number': 'Parent_DH_MAIN', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Item Weight': '210 g', 'Item Dimensions LxWxH': '22 x 11.9 x 6.3 Centimeters', 'Net Quantity': '1.00 count'}","Shree Suppliers, Shree Suppliers, 9833712003"
Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,53052,4.2,[1008],https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_70?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-70," “COMPATIBLE WITH 15.6 INCH LAPTOP”: The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g.  , “HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items  , ""CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use.  , “CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.  , ""HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop  , Conveniently placed storage- In addition to the laptop compartment, there are separate pockets for mobile devices, business cards, and other daily tools in quick-access compartments. The main compartment offers extra space for magazines, notepad and other laptop accessories  , “IN-THE-BOX”: 15.6-inch Backpack  , Country of Origin: China  ",B075Y6SRMG,"{'Brand': 'Lenovo', 'Manufacturer': 'Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560155', 'Model': 'GX40Q17227', 'Model Year': '2017', 'Product Dimensions': '34.04 x 45.54 x 15.01 cm; 449.06 Grams', 'Item model number': 'GX40Q17227', 'Special Features': 'back padding', 'Mounting Hardware': '1 Backpack', 'Number Of Items': '1', 'Standing screen display size': '15.6 Inches', 'Batteries Included': 'No', 'Batteries Required': 'No', 'Material': 'Polyester, fabric', 'Includes Rechargable Battery': 'No', 'Country of Origin': 'China', 'Imported By': 'Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560155', 'Item Weight': '449 g', 'product_description': [], 'from_manufacturer_text': ['Key Features', 'Casual Laptop backpack for all', 'Perfect for daily commuters, college students and all types of travelers', 'Durable design', 'Features a durable, water-repellent snow yarn polyester fabric and streamlined design with a padded interior to protect your laptop, Notebook and other important stuff', 'Enough Space for Everything you need', 'In addition to the laptop compartment, there are separate pockets for mobile devices, business cards and other daily tools in quick-access compartments. The main compartment offers extra space for magazines, Notepad and other laptop accessories'], 'ASIN': 'B075Y6SRMG', 'Customer Reviews': '', 'Best Sellers Rank': '', 'Date First Available': '16 February 2018', 'Packer': 'no 30,tachua road futian free trade zobehenzhen china', 'Importer': 'Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560155', 'Item Dimensions LxWxH': '34 x 45.5 x 15 Centimeters', 'Net Quantity': '1 U', 'Generic Name': 'Backpack'}","Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560155"
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),6317,4.3,[377],https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_69?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-69," Durable Material - Travel Duffle Bag Is Made Of ,Durable Material.; Separate Shoes Compartment - Built-In Extra Shoes Compartment With Exterior Zippers To Keep Your Shoes And Clean Sport Gears Separate.  , Multi-Purpose & Any Occasions - Perfect Duffle Bag For Hiking, Family Holiday, Vacation, Sports, A Short Trip, Gym, Work, Beach, Used As A Overnight Bag, A Short Journey Bag, A Weekender Bag, Gym Bag, Sports Duffle Bag.  , Adjustable Shoulder Straps - Comfortable And Adjustable Shoulder Strap  , Abundance Of Storage - Large Capacity,Meet Your Requirement For Sure And Keep Your Stuff In Order. What An Amazing Design For Sport Bag!  , Water Resistance Level: Water Resistant; Handle Type: Web Handle; Color Name: Grey  ",B07XXFB9CZ,"{'product_description': ['Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.'], 'from_manufacturer_text': [], 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '43 x 23 x 25 cm; 370 Grams', 'Date First Available': '11 September 2019', 'Manufacturer': 'Sfane, Sfane Trends', 'ASIN': 'B07XXFB9CZ', 'Item model number': 'BG - 05 HALF LTSHOE COMPTT', 'Country of Origin': 'India', 'Department': 'Unisex', 'Packer': 'Sfane Trends', 'Importer': 'Sfane Trends', 'Item Weight': '370 g', 'Item Dimensions LxWxH': '43 x 23 x 25 Centimeters', 'Net Quantity': '1.00 count'}","Sfane, Sfane Trends"
"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags(Pink)",107,4.3,[799],https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BK922Y5N/ref=sr_1_67?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-67," High-Quality Materials : Travel makeup pouch made of easy-to-clean PU leather fabric, special water-resistant surface to prevent internal products from getting wet.  , PU Leather makeup bag function : Portable and Lightweight design with handle, Made of high-quality soft PU leather fabric, strong thickness make the bag more durable and easy to clean, special water-resistant surface to prevent internal products from getting wet.No need to worry about messy leaks when traveling.  , Multifunctional storage makeup bags : This Make up Bags not only can storage your cosmetics, but also Jewelry, Electronic Accessories, Camera, Essential oil, Toiletries, Shaving Kit, glasses,Valuable objects and so on.  , Convenient and Durable Handle : The zipper of the makeup travel bag opening design is reasonable,It's a easy to handle and very practical zipper pouch  , Wonderful Gift : The travel makeup bag is perfect for daily use or travelling, it's a great gift for women and girls with the gift box on Mother's Day, Women's Day or Christmas .  ",B0BK922Y5N,"{'product_description': [], 'from_manufacturer_text': ['XIVUMN Large Capacity Travel Cosmetic Bag - Multifunctional Makeup Bag for Easy Access with 2 Storage Pouch', 'Large capacity and large opening make it more convenient for you to use, whether it is daily outing, work or travel, it is an excellent cosmetic bag.', 'Features:', '1.Easy and large opening design, easy to take.', ""2.Double layer cloud cosmetic bag in Vegan Leather leather that's soft and premium like a cloud."", '3.Line neatly, do not ignore every detail.', '4.High-quality zipper, durable and not easy to damage.', '5.High-quality waterproof fabric can easily wipe stains.', 'Specification:', 'Material: PU', 'Color: Pink, Brown', 'Package Includes: 1Pcs - Large-capacity Travel Cosmetic Bag', 'Warm Tip:', ""Dear buyer, due to the lighting effect, monitor's brightness, manual measurement, etc., there could be some slight differences in the color and size between the photo and the actual item. Sincerely hope that you can understand! Thank you!"", ""Perfect for daily use or travel. It would be a great gift for women and girls on Mother's day /Women's day /Christmas /Birthday /Festival / Anniversary / Valentine's Day."", 'Large Capacity Travel Cosmetic Bag', 'High-quality zipper', 'Silky smooth, not stuck, durable', 'Waterproof PU Leather Makeup Bags for Women', 'This makeup travel bag not only can storage your cosmetics, but also Jewelry, Electronic Accessories, Camera, Essential Oil', 'Convenient and Durable Handle', 'Large-capacity storage for all the cosmetics you want to bring on a trip, and a delicate trip. Simple fashion and practical at the same time.'], 'Product Dimensions': '23 x 12 x 12 cm; 170 Grams', 'Date First Available': '24 October 2022', 'Manufacturer': 'XIVUMN, Surat,Gujarat', 'ASIN': 'B0BK922Y5N', 'Item model number': 'Open Flat Cosmetic Bag-01', 'Country of Origin': 'China', 'Department': 'womens', 'Packer': 'XIVUMN', 'Importer': 'XIVUMN', 'Item Weight': '170 g', 'Item Dimensions LxWxH': '23 x 12 x 12 Centimeters', 'Net Quantity': '1.00 count', 'Generic Name': 'Travel Accessory- Cosmetic Bag'}","XIVUMN, Surat,Gujarat"
Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,5375,4.2,[769],https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_68?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-68," Outer Material: Polyester, Inner Material: Polyester, Color: Navy Blue and Beige; Anti-sweat fabric on inner-side of shoulder straps  , Wear Resistant: Wearproof, Water Resistance: waterproofDimensions: 32 cms x 18 cms x 47 cms (LxWxH)  , Capacity: 26 liters, Weight: 0.534 Kg  , Number of compartments: 3; Strap Type: Adjustable  , Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Special Features: Back Padding  ",B00VWM11HQ,"{'product_description': ['Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality. Gear is reckoned for delivering high quality accessories since its inception and has come up with innovation through the years. It is an ideal inclusion to your collection of bags as it is replete with features. Designed with excellence, it is made from high quality fabric. This backpack is long lasting, lightweight and water repellent as well.'], 'from_manufacturer_text': ['Casual Backpack by Gear- Add a Dash of Trend to Everyday Commune!', 'This casual backpack from Gear for every person who enjoys carrying their essential item where ever they go. Crafted from durable grade polyester and internal pocket for organising files and documents, this backpack boats great functionality. It also has padded shoulder straps that can be adjusted as per requirement.', 'Important Features', 'Polyester Material', 'This casual backpack has been crafted from polyester material that makes it resistant to easy tear and wear. Now travel the world with all your belongings safely tucked inside this luggage from Gear.', 'Waterproof', 'The bag has a waterproof outer material that saves your belonging from getting wet. This saves you from a number of troubles and messes.', 'Internal Organiser', 'This backpack features an internal pocket for organising your folders and important documents. It helps to keep these in place and handy to present whenever required.'], 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '47 x 32 x 18 cm; 534 Grams', 'Date First Available': '10 April 2015', 'Manufacturer': 'Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366', 'ASIN': 'B00VWM11HQ', 'Item model number': 'BKPTRMP520522', 'Country of Origin': 'India', 'Department': 'Men', 'Packer': 'Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366', 'Item Weight': '534 g', 'Item Dimensions LxWxH': '47 x 32 x 18 Centimeters', 'Net Quantity': '1 count', 'Included Components': 'Backpack', 'Generic Name': 'Bag'}","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
